list1;list2;list3;list4;list5;joker
28;39;11;7;8;7
10;26;4;3;42;15
3;40;10;5;41;8
3;44;16;28;32;1
2;34;29;23;31;7
24;34;4;33;15;14
44;16;5;13;2;8
13;4;36;32;8;3
32;16;44;19;11;17
8;39;14;41;43;16
29;24;8;36;9;15
9;8;11;10;25;10
18;21;10;13;44;11
34;17;41;30;8;13
31;40;16;23;13;8
19;27;32;31;21;13
31;4;33;24;39;6
31;8;1;41;38;19
3;36;6;10;39;8
12;13;41;1;35;1
20;7;37;45;43;2
9;35;13;34;37;17
4;8;27;45;36;19
5;38;6;3;23;8
30;24;22;36;12;8
37;22;15;39;25;17
22;19;16;21;42;9
43;9;16;12;39;13
38;11;30;24;23;3
34;17;30;16;14;3
11;7;5;1;3;18
3;44;25;1;27;8
9;35;7;29;5;19
43;41;11;15;30;8
14;28;20;23;24;6
17;44;30;20;19;7
4;30;22;24;36;9
30;31;5;28;4;13
25;9;1;7;5;1
6;29;36;44;24;1
29;4;37;43;24;2
36;41;39;26;1;18
26;33;13;5;25;5
18;19;10;5;1;18
39;9;8;20;40;11
15;27;7;6;11;12
27;35;23;34;41;1
2;35;16;41;34;1
5;9;42;17;33;9
25;40;3;4;16;19
13;2;41;35;4;4
3;37;22;8;30;18
42;17;11;9;34;19
32;12;13;10;24;6
23;16;1;11;4;20
36;1;18;13;7;15
7;10;31;19;30;20
39;45;7;37;34;8
34;4;23;2;32;9
18;24;31;41;3;2
1;29;26;24;17;6
38;33;10;9;34;14
1;29;19;38;40;2
27;25;4;30;9;15
21;5;4;11;41;3
15;14;18;35;41;8
25;32;1;27;3;20
26;8;38;2;7;19
7;5;13;15;36;8
36;37;39;27;14;1
40;21;41;6;3;4
14;28;20;42;17;8
14;44;6;27;3;1
13;24;7;11;20;10
2;31;14;38;25;1
31;4;15;20;27;18
37;34;16;29;14;4
4;21;20;42;3;20
1;12;41;33;9;14
17;45;16;8;36;20
29;23;1;15;9;5
16;2;3;14;39;7
23;16;17;27;40;16
36;44;16;31;38;8
2;38;23;25;32;9
9;30;35;29;2;1
7;38;18;32;4;12
10;39;42;8;15;2
2;45;20;16;13;7
36;31;12;4;8;4
35;21;32;3;8;12
13;16;23;2;8;3
33;12;37;22;41;10
10;1;23;31;19;20
13;10;1;39;34;4
26;11;44;33;2;20
9;45;29;14;17;10
40;2;34;3;12;19
11;19;13;9;30;16
26;39;10;12;8;3
7;42;1;15;43;18
24;42;34;12;15;19
5;12;32;19;18;9
19;30;24;33;14;13
38;37;25;27;11;12
16;17;39;30;12;17
45;18;28;15;16;16
33;45;42;14;39;15
23;15;43;32;33;15
27;33;23;19;8;7
12;32;29;42;10;1
23;3;14;29;27;18
33;40;10;38;32;13
36;22;32;18;1;11
20;4;45;28;42;14
8;6;28;42;31;13
1;9;19;22;33;1
29;10;30;43;11;6
43;32;20;19;23;14
3;14;42;13;39;10
21;26;25;40;41;12
37;32;30;20;12;7
36;18;16;26;12;16
9;39;36;14;38;12
38;2;4;26;7;7
13;26;5;11;27;14
15;22;27;10;25;6
36;5;39;45;10;9
3;37;17;13;22;7
7;3;19;38;36;5
42;28;6;13;22;15
33;37;5;41;9;12
16;30;13;12;36;1
31;2;40;11;8;14
36;18;14;44;32;20
2;26;18;23;6;3
20;16;22;32;3;4
36;20;9;12;1;19
11;4;25;37;31;17
41;26;9;4;24;8
29;17;25;31;38;10
33;39;32;9;18;6
40;11;38;35;6;3
30;28;2;34;20;9
8;26;39;34;30;8
31;23;26;6;20;3
24;37;19;15;8;7
45;31;23;34;1;8
13;4;3;22;16;14
15;6;17;25;45;12
14;28;24;32;20;10
23;13;7;15;45;1
23;39;10;29;28;3
27;39;40;9;31;2
30;40;24;20;8;1
18;44;32;33;2;1
34;29;41;33;27;16
20;16;14;23;22;11
32;12;24;44;8;18
11;4;18;29;31;4
36;38;37;43;24;20
43;23;6;4;29;17
13;32;24;3;29;4
41;5;29;14;35;4
42;6;31;13;34;20
21;44;29;41;31;10
13;44;27;7;14;17
23;18;12;24;27;17
43;37;24;44;8;3
8;26;6;19;24;5
24;44;39;30;5;10
28;14;39;42;32;18
17;9;2;22;28;5
38;30;33;44;7;6
42;40;11;36;44;9
18;44;39;34;14;2
37;25;35;28;45;8
34;24;23;12;5;5
28;25;11;23;20;7
16;37;18;1;28;14
8;5;20;41;7;14
6;36;2;13;37;12
